SampleID,TA,Mass,Salinity,Date
Junk3,2571.566164,59.525,35,20220831
1_High_Sq2_20220708,2180.661969,59.986,35.45,20220831
1_Mid_Sq1_20220701,2192.456672,59.752,34.22,20220831
1_Mid_Sq2_20220714,2166.774915,59.685,34.32,20220831
1_Control_Sq2_20220716,2170.602731,60.043,35.11,20220831
2_High_Sq2_20220708,2150.023348,60.216,35.45,20220831
2_Mid_Sq1_20220701,2169.217746,60.309,34.22,20220831
2_Mid_Sq2_20220714,2157.607269,60.234,34.32,20220831
2_Control_Sq2_20220716,2161.747696,59.936,35.11,20220831
JUNK1,2070.05432,60.455,35,20230516
CRM1,2238.477532,60.437,33.532,20230516
Junk2,2066.752774,59.946,35,20230516
1_M_Sq3_20220712,2189.711508,60.12,35.17,20230516
2_M_Sq3_20220712,2189.758497,60.395,35.17,20230516
1_M_Sq1_20220629,2168.268096,59.635,35.48,20230516
2_M_Sq1_20220629,2175.334532,60.136,35.48,20230516
1_C_Sq1_20220628,2181.519832,60.309,35.36,20230516
2_C_Sq1_20220628,2185.381415,59.968,35.36,20230516
1_H_Sq2_20220716,2210.188977,60.243,35.21,20230516
2_H_Sq2_20220716,2213.395568,59.908,35.21,20230516
Junk4,2063.141468,60.159,35,20230516
1_H_Sq2_20220628,2184.444271,60.268,34.63,20230516
2_H_Sq2_20220628,2183.015923,60.21,34.63,20230516
1_H_Sq2_20220701,2184.386416,60.133,34.79,20230516
2_H_Sq2_20220701,2192.55397,60.201,34.79,20230516
1_H_Sq2_20220702,2193.225509,60.299,35.02,20230516
2_H_Sq2_20220702,2191.806319,60.688,35.02,20230516
1_H_Sq3_20220628,2180.171362,60.114,34.51,20230516
2_H_Sq3_20220628,2188.351177,60.211,34.51,20230516
Junk1,2068.204419,60.092,35,20230522
CRM1,2235.861099,60.164,33.432,20230522
Junk2,2066.055925,60.045,35,20230522
1_H_Sq1_20220701,2188.890211,60.094,34.8,20230522
2_H_Sq1_20220701,2186.512842,60.216,34.8,20230522
1_C_Sq2_20220629,2168.072626,59.684,35.44,20230522
2_C_Sq2_20220629,2163.509229,59.843,35.44,20230522
1_M_Sq1_20220716,2176.152196,60.106,35.03,20230522
2_M_Sq1_20220716,2179.82277,60.177,35.03,20230522
1_H_Sq3_20220630,2186.41969,59.961,35.46,20230522
2_H_Sq3_20220630,2185.494528,59.889,35.46,20230522
Junk3,2060.635423,60.367,35,20230522
1_C_Sq2_20220705,2188.130063,60.197,35.02,20230522
2_C_Sq2_20220705,2188.183771,59.718,35.02,20230522
1_H_Sq1_20220705,2179.094133,60.292,35.4,20230522
2_H_Sq1_20220705,2175.919572,60.264,35.4,20230522
1_H_Sq2_20220714,2178.944124,59.782,35.35,20230522
2_H_Sq2_20220714,2182.736364,60.111,35.35,20230522
1_M_Sq2_20220701,2197.92152,60.121,35.32,20230522
2_M_Sq2_20220701,2202.184584,60.145,35.32,20230522
Junk4,2059.162354,60.025,35,20230522
1_M_Sq1_20220714,2179.114709,60.28,34.32,20230522
2_M_Sq1_20220714,2179.859567,59.917,34.32,20230522
1_H_Sq1_20220628,2177.850749,59.912,34.83,20230522
2_H_Sq1_20220628,2178.269056,59.867,34.83,20230522
1_C_Sq1_20220714,2183.382667,60.026,35.08,20230522
2_C_Sq1_20220714,2186.303404,60,35.08,20230522
1_C_Sq1_20220629,2156.687282,59.925,35.24,20230522
2_C_Sq1_20220629,2168.023145,60.16,35.24,20230522
JUNK1,2073.448936,60.115,35,20230523
CRM1,2228.121967,59.965,33.532,20230523
Junk2,2057.180148,60.27,35,20230523
1_C_Sq1_20220708,2182.384494,60.286,35.03,20230523
2_C_Sq1_20220708,2181.279307,60.029,35.03,20230523
1_M_Sq2_20220629,2172.151067,59.584,35.43,20230523
2_M_Sq2_20220629,2179.319229,60.042,35.43,20230523
1_C_Sq3_20220702,2180.960017,60.203,35.51,20230523
2_C_Sq3_20220702,2180.885365,60.393,35.51,20230523
1_H_Sq3_20220716,2231.782699,60.251,35.41,20230523
2_H_Sq3_20220716,2232.685009,60.176,35.41,20230523
Junk3,2052.509285,60.4,35,20230523
1_M_Sq2_20220706,2178.837994,59.92,34.43,20230523
2_M_Sq2_20220706,2187.488061,60.188,34.43,20230523
1_C_Sq2_20220701,2182.386083,60.194,34.81,20230523
2_C_Sq2_20220701,2182.463754,59.568,34.81,20230523
1_M_Sq3_20220706,2175.210352,59.879,34.88,20230523
2_M_Sq3_20220706,2181.756874,60.279,34.88,20230523
1_C_Sq1_20220716,2173.915942,60.66,34.93,20230523
2_C_Sq1_20220716,2179.783049,60.237,34.93,20230523
Junk4,2057.754682,60.2,35,20230523
1_H_Sq3_20220716,2200.787531,59.997,34.72,20230523
2_H_Sq3_20220716,2202.662356,60.035,34.72,20230523
1_M_Sq3_20220701,2178.776105,60.098,35.02,20230523
2_M_Sq3_20220701,2187.593664,59.633,35.02,20230523
1_H_Sq2_20220710,2180.696548,59.905,34.52,20230523
2_H_Sq2_20220710,2185.662251,60.186,34.52,20230523
1_H_Sq2_20220706,2184.970723,60.103,34.84,20230523
2_H_Sq2_20220706,2184.762055,60.33,34.84,20230523
Junk5,2053.937387,60.327,35,20230523
1_M_Sq1_20220705,2176.093608,60.463,34.82,20230523
2_M_Sq1_20220705,2177.059763,60.26,34.82,20230523
1_M_Sq3_20220710,2173.361156,60.262,35.3,20230523
2_M_Sq3_20220710,2178.343214,60.011,35.3,20230523
1_C_Sq2_20220628,2166.92471,60.126,35.19,20230523
2_C_Sq2_20220628,2171.445666,59.788,35.19,20230523
1_C_Sq1_20220710,2177.165627,59.834,35.22,20230523
2_C_Sq1_20220710,2184.415978,60.24,35.22,20230523
Junk3,2064.094281,60.24,35,20230516
1_C_Sq1_20220706,2561.306491,50.73,35.2,20230516
2_C_Sq1_20220706,2180.707518,59.891,35.2,20230516
1_C_Sq1_20220701,2185.324885,60.424,35.36,20230516
2_C_Sq1_20220701,2195.844193,60.526,35.36,20230516
1_C_Sq1_20220630,2185.019065,60.42,35.28,20230516
2_C_Sq1_20220630,2186.503502,59.988,35.28,20230516
1_H_Sq2_20220712,2224.440449,59.454,35.34,20230516
2_H_Sq2_20220712,2229.623259,59.647,35.34,20230516
